srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,543,619,32,6,1354,Leader
2,Chief,IN,10,0,3,0,13,Elder
3,emnil007,IN,190,253,22,8,619,Co-leader
4,Eleiken,IN,354,362,22,2,760,Co-leader
5,arggggggah,IN,5,538,11,0,554,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,440,8,0,453,Elder
8,Joyotri,IN,110,357,12,5,527,Elder
9,kking,IN,152,250,6,3,420,Elder
10,jenoslegod,IN,37,5,1,0,43,Elder
11,MASTER SARVESH,IN,54,67,10,1,131,Elder
12,kindstonge17,OUT,92,448,22,16,892,Elder
13,Dewan,IN,3,2,2,1,7,Elder
14,gautam,IN,55,70,8,3,149,Elder
15,raful,IN,70,127,3,0,200,Elder
16,Flix-Flop,IN,24,85,2,0,111,Elder
17,*..flow..*,IN,4,77,4,1,85,Elder
18,AllNaMundy,OUT,43,118,5,3,176,Elder
19,Bennie,IN,30,115,1,0,146,Elder
20,2ndprototype,IN,29,150,7,0,186,Elder
21,Rider_22,IN,88,183,8,4,303,Elder
22,may thae,IN,6,50,3,2,62,Elder
23,Born to be King,IN,91,178,7,6,311,Elder
24,DmonOP,IN,3,6,1,0,10,Elder
25,Grandpa1,IN,62,125,5,5,212,Elder
26,tấn lộc,IN,4,24,1,0,29,Elder
27,™KingShid™^^,IN,2,41,2,0,45,Elder
28,mare,IN,24,24,1,0,49,Elder
29,lord tuskiee,IN,9,59,3,1,71,Elder
30,dragonsaregood,IN,24,17,2,1,43,Elder
31,weeb commander,OUT,0,30,5,4,50,Elder
