srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,592,697,35,8,1569,Leader
2,Chief,IN,10,0,4,0,14,Elder
3,emnil007,IN,192,259,22,8,627,Co-leader
4,Eleiken,IN,382,392,24,3,846,Co-leader
5,arggggggah,IN,5,601,11,0,617,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,446,8,0,459,Elder
8,Joyotri,IN,140,434,15,8,694,Elder
9,kking,IN,152,250,6,3,420,Elder
10,kindstonge17,IN,142,515,25,18,1107,Elder
11,Dewan,IN,3,3,4,1,10,Elder
12,gautam,IN,55,97,10,3,182,Elder
13,raful,IN,74,127,3,0,204,Elder
14,Flix-Flop,IN,24,85,2,0,111,Elder
15,*..flow..*,IN,4,77,4,1,85,Elder
16,2ndprototype,IN,30,162,7,0,199,Elder
17,Rider_22,IN,129,258,11,6,453,Co-leader
18,DmonOP,IN,3,6,1,0,10,Elder
19,Grandpa1,IN,106,203,8,8,373,Elder
20,™KingShid™^^,IN,2,47,2,0,51,Elder
21,mare,IN,24,42,1,0,67,Elder
22,lord tuskiee,IN,13,87,4,1,104,Elder
23,JIREN,IN,33,81,4,1,118,Elder
24,SPARSH☆,IN,10,29,2,2,43,Elder
25,MALAY,IN,15,12,3,1,30,Elder
26,may thae,IN,6,50,3,2,62,Elder
