srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,526,589,31,6,1301,Leader
2,Chief,IN,10,0,2,0,12,Elder
3,emnil007,IN,190,253,22,8,619,Co-leader
4,Eleiken,IN,346,362,21,2,750,Co-leader
5,arggggggah,IN,5,510,11,0,526,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,428,8,0,441,Elder
8,Joyotri,IN,100,333,11,5,488,Elder
9,kking,IN,152,250,6,3,420,Elder
10,jenoslegod,IN,37,5,1,0,43,Elder
11,MASTER SARVESH,IN,54,67,10,1,131,Elder
12,kindstonge17,OUT,81,419,21,15,815,Elder
13,manna_1_2,IN,30,1,3,0,34,Elder
14,Dewan,IN,1,2,2,1,5,Elder
15,gautam,IN,54,64,7,3,139,Elder
16,raful,IN,70,127,3,0,200,Elder
17,Flix-Flop,IN,24,85,2,0,111,Elder
18,*..flow..*,IN,4,77,4,1,85,Elder
19,AllNaMundy,OUT,43,118,5,3,176,Elder
20,Bennie,IN,30,115,1,0,146,Elder
21,2ndprototype,IN,29,132,6,0,167,Elder
22,Rider_22,IN,72,155,7,4,255,Elder
23,may thae,IN,6,50,3,2,62,Elder
24,Born to be King,IN,91,178,7,6,311,Elder
25,DmonOP,IN,3,6,1,0,10,Elder
26,Grandpa1,IN,48,95,4,4,159,Elder
27,tấn lộc,IN,4,24,1,0,29,Elder
28,™KingShid™^^,IN,2,41,2,0,45,Elder
29,Rio,IN,17,37,2,1,56,Elder
30,lord tuskiee,IN,5,35,2,1,42,Elder
31,jonpai,IN,85,179,6,6,300,Elder
32,weeb commander,OUT,0,30,5,4,50,Elder
