srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,717,865,42,8,1632,Leader
2,Chief,IN,10,0,6,0,16,Elder
3,emnil007,IN,193,259,22,8,482,Co-leader
4,Eleiken,IN,420,482,27,3,932,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,479,8,0,492,Elder
8,kking,IN,152,250,6,3,411,Elder
9,kindstonge17,IN,242,654,31,20,947,Elder
10,Dewan,IN,17,5,11,3,36,Elder
11,gautam,IN,62,141,11,4,218,Elder
12,raful,IN,75,127,3,0,205,Elder
13,Rider_22,IN,183,353,16,8,560,Co-leader
14,Grandpa1,IN,226,369,15,15,625,Elder
15,mare,IN,37,60,2,0,99,Elder
16,JIREN,IN,59,154,7,2,222,Elder
17,Joyotri,IN,225,582,21,13,841,Co-leader
18,Rafael,IN,82,123,7,6,218,Elder
19,GOD OF UNDEAD,IN,6,251,4,0,261,Elder
20,T-REX,IN,7,69,5,2,83,Elder
21,flameboy5050,IN,52,65,5,0,122,Elder
22,You,IN,26,20,5,0,51,Elder
23,Prachit123,IN,60,8,1,0,69,Elder
24,COPY_KAKASHI,IN,30,93,3,2,128,Elder
