srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,660,793,39,8,1765,Leader
2,Chief,IN,10,0,6,0,16,Elder
3,emnil007,IN,193,259,22,8,628,Co-leader
4,Eleiken,IN,404,458,25,3,937,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,469,8,0,482,Elder
8,kking,IN,152,250,6,3,420,Elder
9,kindstonge17,IN,203,598,28,20,1361,Elder
10,Dewan,IN,14,4,8,3,42,Elder
11,gautam,IN,61,129,10,3,220,Elder
12,raful,IN,74,127,3,0,204,Elder
13,Rider_22,IN,151,301,14,7,550,Co-leader
14,Grandpa1,IN,174,303,12,12,621,Elder
15,mare,IN,37,60,2,0,99,Elder
16,JIREN,IN,35,100,4,1,139,Elder
17,Joyotri,IN,179,512,18,11,889,Elder
