srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,623,745,37,8,1664,Leader
2,Chief,IN,10,0,5,0,15,Elder
3,emnil007,IN,193,259,22,8,628,Co-leader
4,Eleiken,IN,389,428,24,3,889,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,457,8,0,470,Elder
8,kking,IN,152,250,6,3,420,Elder
9,kindstonge17,IN,174,560,26,20,1254,Elder
10,Dewan,IN,6,3,6,3,27,Elder
11,gautam,IN,61,124,10,3,215,Elder
12,raful,IN,74,127,3,0,204,Elder
13,Rider_22,IN,137,273,12,6,482,Co-leader
14,Grandpa1,IN,139,251,10,10,490,Elder
15,mare,IN,36,54,2,0,92,Elder
16,JIREN,IN,35,90,4,1,129,Elder
