srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,642,769,38,8,1715,Leader
2,Chief,IN,10,0,6,0,16,Elder
3,emnil007,IN,193,259,22,8,628,Co-leader
4,Eleiken,IN,396,446,25,3,917,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,463,8,0,476,Elder
8,kking,IN,152,250,6,3,420,Elder
9,kindstonge17,IN,188,584,27,20,1312,Elder
10,Dewan,IN,8,3,7,3,32,Elder
11,gautam,IN,61,129,10,3,220,Elder
12,raful,IN,74,127,3,0,204,Elder
13,Rider_22,IN,143,289,13,7,523,Co-leader
14,Grandpa1,IN,155,281,11,11,557,Elder
15,mare,IN,36,60,2,0,98,Elder
16,JIREN,IN,35,100,4,1,139,Elder
17,Joyotri,IN,165,488,17,10,823,Elder
