srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,560,643,33,7,1434,Leader
2,Chief,IN,10,0,3,0,13,Elder
3,emnil007,IN,190,253,22,8,619,Co-leader
4,Eleiken,IN,367,374,23,3,810,Co-leader
5,arggggggah,IN,5,561,11,0,577,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,446,8,0,459,Elder
8,Joyotri,IN,120,381,13,6,579,Elder
9,kking,IN,152,250,6,3,420,Elder
10,kindstonge17,OUT,109,472,23,17,972,Elder
11,Dewan,IN,3,3,2,1,8,Elder
12,gautam,IN,55,76,8,3,155,Elder
13,raful,IN,70,127,3,0,200,Elder
14,Flix-Flop,IN,24,85,2,0,111,Elder
15,*..flow..*,IN,4,77,4,1,85,Elder
16,2ndprototype,IN,30,156,7,0,193,Elder
17,Rider_22,IN,103,205,9,5,353,Elder
18,DmonOP,IN,3,6,1,0,10,Elder
19,Grandpa1,IN,76,149,6,6,261,Elder
20,™KingShid™^^,IN,2,41,2,0,45,Elder
21,mare,IN,24,24,1,0,49,Elder
22,lord tuskiee,IN,12,65,4,1,81,Elder
23,dragonsaregood,IN,24,17,2,1,43,Elder
24,JIREN,IN,16,33,3,1,52,Elder
