srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,512,565,30,6,1257,Leader
2,Chief,IN,10,0,2,0,12,Elder
3,emnil007,IN,189,253,22,8,618,Co-leader
4,Eleiken,IN,338,350,20,2,728,Co-leader
5,arggggggah,IN,5,486,11,0,502,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,405,8,0,418,Elder
8,Joyotri,IN,100,310,10,5,460,Elder
9,kking,IN,152,250,6,3,420,Elder
10,jenoslegod,IN,37,5,1,0,43,Elder
11,MASTER SARVESH,IN,54,67,10,1,131,Elder
12,kindstonge17,OUT,72,395,20,14,747,Elder
13,manna_1_2,IN,20,1,2,0,23,Elder
14,Dewan,IN,1,2,2,1,5,Elder
15,gautam,IN,54,64,7,3,139,Elder
16,raful,IN,69,127,3,0,199,Elder
17,Flix-Flop,IN,24,82,2,0,108,Elder
18,*..flow..*,IN,4,77,4,1,85,Elder
19,AllNaMundy,OUT,43,118,5,3,176,Elder
20,Bennie,IN,30,115,1,0,146,Elder
21,2ndprototype,IN,27,117,5,0,149,Elder
22,Rider_22,IN,55,137,6,3,210,Elder
23,may thae,IN,6,48,3,2,60,Elder
24,Born to be King,IN,91,178,7,6,311,Elder
25,DmonOP,IN,3,6,1,0,10,Elder
26,Grandpa1,IN,36,71,3,3,116,Elder
27,tấn lộc,IN,4,24,1,0,29,Elder
28,™KingShid™^^,OUT,2,18,1,0,21,Elder
